Target_genes	Isl1|Average	SRX5360103|E8.25-E9_embryos	SRX2408870|Embryonic_gonad	SRX2408872|Embryonic_gonad	SRX1973054|Islets_of_Langerhans	SRX146883|mESCs,_differentiated	SRX1706950|mESCs,_differentiated	SRX1706951|mESCs,_differentiated	SRX1706956|mESCs,_differentiated	SRX1706957|mESCs,_differentiated	SRX1706963|mESCs,_differentiated	SRX1706964|mESCs,_differentiated	SRX1706972|mESCs,_differentiated	SRX1706973|mESCs,_differentiated	SRX1668835|mESC_derived_cardiac_cells	SRX5360257|mESC_derived_cardiac_cells	SRX5360258|mESC_derived_cardiac_cells	SRX092471|mESC_derived_neural_cells	SRX146882|mESC_derived_neural_cells	SRX1659036|mESC_derived_neural_cells	SRX1659037|mESC_derived_neural_cells	SRX1659038|mESC_derived_neural_cells	SRX1659039|mESC_derived_neural_cells	SRX1030299|Sinoatrial_Node	SRX2480228|Sympathetic_neurons	STRING
Nsmaf	45.208333	0	0	0	0	136	251	0	91	330	0	140	0	0	0	0	137	0	0	0	0	0	0	0	0	0
Mkrn3	45.208333	0	0	0	0	0	279	80	366	264	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubfd1	45.166667	0	0	176	0	0	87	0	148	190	0	163	154	0	0	0	166	0	0	0	0	0	0	0	0	0
Nipa2	45.166667	0	0	0	0	0	0	0	0	0	0	158	432	156	0	0	123	215	0	0	0	0	0	0	0	0
Ears2	45.166667	0	0	176	0	0	87	0	148	190	0	163	154	0	0	0	166	0	0	0	0	0	0	0	0	0
Tmem9	45.125	329	0	0	0	0	0	0	0	126	0	96	171	0	0	0	169	0	0	104	0	88	0	0	0	0
Sesn3	45.125	0	217	126	0	0	117	0	0	163	0	0	159	145	0	0	156	0	0	0	0	0	0	0	0	0
Prmt5	45.125	222	0	0	0	163	0	0	0	113	0	0	229	0	0	0	213	0	143	0	0	0	0	0	0	0
Tox3	45.083333	152	0	0	0	544	0	0	0	0	0	0	0	0	228	0	158	0	0	0	0	0	0	0	0	0
Tmem102	45.083333	145	244	187	0	0	0	0	0	0	0	0	0	0	409	0	97	0	0	0	0	0	0	0	0	0
Pold3	45.041667	0	362	271	0	0	0	0	0	0	0	0	0	0	307	0	141	0	0	0	0	0	0	0	0	0
Mapk3	45.041667	0	0	0	0	102	122	0	0	96	0	137	185	0	0	0	169	0	270	0	0	0	0	0	0	0
Get1	45.041667	0	0	0	0	0	220	0	161	229	0	0	273	0	0	0	198	0	0	0	0	0	0	0	0	0
Mcts1	45.0	0	0	0	0	0	279	0	141	292	0	174	194	0	0	0	0	0	0	0	0	0	0	0	0	0
Mansc1	45.0	0	0	0	0	0	258	0	209	438	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ipo8	45.0	145	0	0	0	0	0	0	0	184	0	149	236	168	0	0	0	198	0	0	0	0	0	0	0	0
H3f3a	45.0	0	0	0	0	0	212	0	160	169	0	127	101	0	0	0	195	116	0	0	0	0	0	0	0	0
Crem	45.0	0	0	89	0	0	200	0	200	161	0	0	195	113	0	0	122	0	0	0	0	0	0	0	0	0
Lmbrd1	44.958333	0	0	0	0	0	150	0	115	200	0	151	221	127	0	0	115	0	0	0	0	0	0	0	0	0
Zfp688	44.916667	0	0	0	0	0	345	0	241	308	0	100	0	0	0	0	84	0	0	0	0	0	0	0	0	0
Ypel5	44.916667	71	0	0	0	0	377	0	0	145	0	163	115	0	0	0	207	0	0	0	0	0	0	0	0	0
Sptlc2	44.916667	0	0	0	0	0	133	0	156	212	0	157	151	115	0	0	154	0	0	0	0	0	0	0	0	0
Pmvk	44.916667	0	117	115	0	0	0	0	0	122	0	101	0	0	524	0	0	0	0	0	0	99	0	0	0	0
Tcl1b3	44.875	0	0	0	0	0	0	0	181	357	0	199	172	168	0	0	0	0	0	0	0	0	0	0	0	0
Stmn2	44.875	0	0	0	0	0	0	0	0	0	0	0	312	188	577	0	0	0	0	0	0	0	0	0	0	0
Gapvd1	44.875	130	0	0	0	0	281	0	0	367	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0
Zfp131	44.833333	0	0	0	0	0	195	0	208	182	0	154	79	106	0	0	152	0	0	0	0	0	0	0	0	0
Qser1	44.833333	0	0	0	0	0	203	0	149	187	0	152	161	0	0	0	224	0	0	0	0	0	0	0	0	0
Nus1	44.833333	0	301	319	0	0	0	0	0	0	0	0	0	0	316	0	140	0	0	0	0	0	0	0	0	0
Gm13290	44.833333	0	0	111	0	131	0	0	0	0	78	84	115	0	0	0	557	0	0	0	0	0	0	0	0	0
Gm13289	44.833333	0	0	111	0	131	0	0	0	0	78	84	115	0	0	0	557	0	0	0	0	0	0	0	0	0
Gm13285	44.833333	0	0	111	0	131	0	0	0	0	78	84	115	0	0	0	557	0	0	0	0	0	0	0	0	0
Cs	44.833333	0	0	0	0	0	140	0	135	157	0	0	214	138	0	85	207	0	0	0	0	0	0	0	0	0
Adcy4	44.833333	0	424	456	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0
Clptm1	44.791667	0	281	204	0	0	0	0	0	112	0	0	164	0	134	0	180	0	0	0	0	0	0	0	0	0
Reep4	44.75	0	0	0	0	0	171	0	0	131	0	136	166	162	224	0	84	0	0	0	0	0	0	0	0	0
Jph3	44.75	0	0	0	0	0	0	0	114	202	0	125	219	132	0	0	124	158	0	0	0	0	0	0	0	0
Timm50	44.708333	0	252	372	0	0	0	0	0	0	0	0	95	0	243	0	111	0	0	0	0	0	0	0	0	0
Rab37	44.708333	0	0	282	0	538	112	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pml	44.708333	0	126	0	0	0	225	0	180	234	0	165	0	0	143	0	0	0	0	0	0	0	0	0	0	0
Dus2	44.666667	0	295	199	0	0	102	0	0	0	0	0	0	0	298	0	178	0	0	0	0	0	0	0	0	0
Ddx28	44.666667	0	295	199	0	0	102	0	0	0	0	0	0	0	298	0	178	0	0	0	0	0	0	0	0	0
BC003965	44.666667	0	0	0	0	142	0	0	0	203	0	99	131	0	0	0	187	0	204	0	0	106	0	0	0	0
Ttll13	44.625	0	0	0	0	0	288	0	175	272	0	118	218	0	0	0	0	0	0	0	0	0	0	0	0	0
Tanc1	44.583333	0	0	0	0	0	236	0	151	253	0	159	116	0	0	0	155	0	0	0	0	0	0	0	0	0
Phip	44.583333	0	0	0	0	0	295	0	121	153	0	146	147	112	0	0	96	0	0	0	0	0	0	0	0	0
Kat6b	44.583333	0	147	140	0	0	100	0	105	0	0	0	159	0	147	0	272	0	0	0	0	0	0	0	0	0
Slc43a2	44.541667	0	279	334	0	93	0	0	0	146	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0
Btbd11	44.541667	0	0	0	0	0	227	0	0	265	0	0	337	151	0	0	89	0	0	0	0	0	0	0	0	0
Tmem9b	44.458333	0	0	0	0	0	121	0	142	209	0	146	240	0	0	0	209	0	0	0	0	0	0	0	0	0
Shisal2a	44.458333	0	0	0	0	524	0	0	119	135	0	0	0	0	0	0	116	173	0	0	0	0	0	0	0	0
Prorp	44.375	0	0	0	0	0	236	0	156	175	0	168	244	86	0	0	0	0	0	0	0	0	0	0	0	0
Zfp58	44.333333	0	0	0	0	0	223	0	143	322	0	164	212	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr366	44.333333	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0	0	0	0	0	0	0	0	0
Hpcal4	44.333333	0	0	0	0	0	321	0	0	455	0	165	123	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo28	44.333333	0	0	0	0	0	178	0	197	192	0	150	108	0	0	0	239	0	0	0	0	0	0	0	0	0
Suox	44.291667	0	389	307	0	0	108	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0
Ppm1b	44.291667	0	0	0	0	0	0	0	135	171	0	157	214	256	0	0	130	0	0	0	0	0	0	0	0	0
Lin28a	44.291667	0	0	0	0	130	357	0	0	339	0	0	0	0	129	0	108	0	0	0	0	0	0	0	0	0
Nars	44.25	190	0	0	0	0	0	0	127	209	0	115	180	152	0	0	89	0	0	0	0	0	0	0	0	0
Lgals12	44.25	0	0	0	0	0	103	0	247	230	0	184	200	0	0	0	0	98	0	0	0	0	0	0	0	0
Foxp2	44.25	0	160	165	0	0	0	0	0	127	0	89	220	0	0	0	0	301	0	0	0	0	0	0	0	0
Cd24a	44.25	0	0	0	0	0	148	0	135	261	0	122	174	87	0	0	135	0	0	0	0	0	0	0	0	0
Nup43	44.208333	0	456	444	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0
Wdr41	44.166667	0	0	0	0	0	113	0	124	206	0	0	0	169	0	0	293	0	155	0	0	0	0	0	0	0
Tff3	44.166667	0	0	0	0	0	246	0	251	297	0	110	156	0	0	0	0	0	0	0	0	0	0	0	0	0
Mat2a	44.166667	0	139	177	0	0	0	0	0	0	0	0	239	129	0	0	112	264	0	0	0	0	0	0	0	0
Vmn2r4	44.125	140	0	0	0	0	0	0	0	0	0	0	0	0	0	466	355	98	0	0	0	0	0	0	0	0
Rap1b	44.083333	0	0	0	0	0	0	0	0	153	0	117	195	199	0	0	295	99	0	0	0	0	0	0	0	0
Osbpl1a	44.083333	0	0	0	0	0	227	0	105	186	0	117	116	0	0	96	211	0	0	0	0	0	0	0	0	0
Lamtor5	44.083333	0	328	468	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0
Smim14	44.041667	181	0	0	0	0	199	0	155	325	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0
Ralgds	44.041667	162	0	0	0	0	0	0	0	148	0	213	135	199	0	0	200	0	0	0	0	0	0	0	0	0
Pcbp1	44.041667	0	219	137	165	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	364	0
Nub1	44.041667	0	0	0	0	0	169	0	193	219	0	96	121	0	0	0	259	0	0	0	0	0	0	0	0	0
Hoxb1	44.041667	0	0	0	0	137	307	0	252	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm45337	44.041667	0	0	0	0	0	292	0	247	252	0	184	0	0	0	0	82	0	0	0	0	0	0	0	0	0
Zfp280b	44.0	0	0	0	0	0	208	0	188	342	0	100	0	0	0	0	218	0	0	0	0	0	0	0	0	0
Zdhhc8	44.0	0	181	169	0	0	0	0	0	0	0	0	0	0	282	0	254	0	0	0	0	0	0	0	170	0
Cluh	44.0	0	328	338	0	0	0	0	0	0	0	0	0	0	233	0	157	0	0	0	0	0	0	0	0	0
Ntf3	43.958333	0	0	0	0	0	0	0	229	306	0	294	226	0	0	0	0	0	0	0	0	0	0	0	0	0
Scn2a	43.833333	0	0	0	0	111	123	0	0	119	0	0	193	144	0	0	0	362	0	0	0	0	0	0	0	0
Keap1	43.833333	0	292	141	0	0	0	0	0	0	0	0	0	0	490	0	129	0	0	0	0	0	0	0	0	0
Tshz1	43.791667	473	0	0	0	0	0	0	0	0	0	0	162	0	0	187	229	0	0	0	0	0	0	0	0	0
Trp53inp2	43.791667	0	0	0	0	0	0	0	0	0	0	0	372	296	0	0	107	276	0	0	0	0	0	0	0	0
Slc25a39	43.791667	0	221	216	0	0	0	0	0	0	0	0	0	0	367	0	247	0	0	0	0	0	0	0	0	0
Ddx56	43.75	0	0	0	0	0	222	0	0	220	0	246	262	100	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf12	43.75	0	0	0	0	0	0	0	108	289	0	148	202	109	0	0	0	194	0	0	0	0	0	0	0	0
Cxcl10	43.75	0	0	0	0	0	276	0	161	260	0	155	0	0	0	0	198	0	0	0	0	0	0	0	0	0
Psmd4	43.708333	0	0	0	0	0	121	0	136	138	0	170	356	0	0	0	128	0	0	0	0	0	0	0	0	0
Rcc2	43.666667	0	0	0	0	441	216	0	75	182	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0
Ubac1	43.541667	0	0	0	0	137	275	0	197	0	0	0	276	0	0	0	160	0	0	0	0	0	0	0	0	0
Sec61b	43.541667	0	412	302	0	0	0	0	0	0	0	0	0	0	233	0	98	0	0	0	0	0	0	0	0	0
Pcdhb12	43.541667	0	0	0	0	0	309	0	214	251	0	170	0	101	0	0	0	0	0	0	0	0	0	0	0	0
Mccc1	43.541667	0	313	144	0	100	0	0	0	0	0	0	184	0	304	0	0	0	0	0	0	0	0	0	0	0
Alg2	43.541667	0	412	302	0	0	0	0	0	0	0	0	0	0	233	0	98	0	0	0	0	0	0	0	0	0
Smim13	43.5	0	0	0	0	0	347	0	84	217	0	0	119	0	0	0	165	112	0	0	0	0	0	0	0	0
Ifitm2	43.5	0	0	0	0	0	161	0	156	257	0	113	0	0	0	0	141	0	0	84	132	0	0	0	0	0
Adat1	43.5	0	0	0	0	0	0	0	168	280	0	323	273	0	0	0	0	0	0	0	0	0	0	0	0	0
Lnpk	43.458333	0	0	0	0	0	0	0	0	0	0	204	213	158	0	0	203	265	0	0	0	0	0	0	0	0
Gmfb	43.416667	162	328	240	0	0	0	0	0	0	0	0	0	0	224	0	88	0	0	0	0	0	0	0	0	0
Baiap3	43.416667	0	0	0	0	0	76	0	150	413	0	127	120	0	0	0	156	0	0	0	0	0	0	0	0	0
Skp1	43.375	0	322	232	0	0	0	0	0	0	0	0	0	0	373	0	114	0	0	0	0	0	0	0	0	0
Trim13	43.333333	0	0	0	0	0	291	0	97	223	0	190	87	0	0	0	152	0	0	0	0	0	0	0	0	0
C1qbp	43.333333	0	252	132	0	0	0	0	0	0	0	132	0	0	313	0	211	0	0	0	0	0	0	0	0	0
Pttg1ip2	43.291667	0	0	0	0	0	0	0	0	0	0	199	380	249	0	0	0	211	0	0	0	0	0	0	0	0
Gldc	43.291667	0	0	0	0	0	177	0	182	334	0	165	0	0	0	0	181	0	0	0	0	0	0	0	0	0
Dhx33	43.291667	0	0	0	0	0	312	0	173	174	0	118	0	116	0	0	146	0	0	0	0	0	0	0	0	0
Dctn6	43.291667	0	312	349	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0
U2surp	43.25	0	316	345	0	0	0	0	0	0	0	0	90	0	210	0	77	0	0	0	0	0	0	0	0	0
Bach1	43.25	0	0	0	0	0	288	0	0	271	0	0	116	152	0	0	211	0	0	0	0	0	0	0	0	0
Smad6	43.208333	0	285	240	0	0	89	0	0	0	0	0	0	0	314	0	109	0	0	0	0	0	0	0	0	0
Agtr2	43.208333	0	0	0	0	0	0	0	0	0	0	0	273	257	0	0	0	367	140	0	0	0	0	0	0	0
Zmynd8	43.166667	0	0	0	0	0	0	0	0	154	0	146	193	0	0	0	147	0	0	129	162	0	105	0	0	0
Srsf4	43.166667	0	0	0	0	0	140	0	0	222	0	107	152	0	0	0	259	0	156	0	0	0	0	0	0	0
Lsm6	43.125	0	227	0	0	0	0	0	150	214	0	91	95	0	0	0	134	0	124	0	0	0	0	0	0	0
Abcg2	43.125	169	0	0	0	140	176	0	0	276	0	0	82	0	0	0	192	0	0	0	0	0	0	0	0	0
Zc3h11a	43.083333	0	0	0	0	0	238	0	147	288	0	182	179	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbed6	43.083333	0	0	0	0	0	238	0	147	288	0	182	179	0	0	0	0	0	0	0	0	0	0	0	0	0
Shisa3	43.083333	0	0	0	0	0	141	0	150	163	0	189	285	0	0	0	106	0	0	0	0	0	0	0	0	0
Gzf1	43.083333	0	0	0	0	0	245	0	165	280	0	124	155	0	0	0	65	0	0	0	0	0	0	0	0	0
4833439L19Rik	43.083333	0	0	0	0	0	184	0	145	225	0	221	135	0	0	0	124	0	0	0	0	0	0	0	0	0
Yipf3	43.041667	0	0	0	0	0	0	0	0	0	0	0	465	149	0	0	175	244	0	0	0	0	0	0	0	0
Polr1c	43.041667	0	0	0	0	0	0	0	0	0	0	0	465	149	0	0	175	244	0	0	0	0	0	0	0	0
Garre1	43.041667	0	0	0	0	0	0	0	232	193	0	197	214	0	0	0	197	0	0	0	0	0	0	0	0	0
Cma1	43.0	0	0	0	0	0	0	0	162	206	0	200	302	162	0	0	0	0	0	0	0	0	0	0	0	0
Tpi1	42.916667	0	0	0	0	0	181	0	181	257	0	207	204	0	0	0	0	0	0	0	0	0	0	0	0	0
Stk40	42.875	0	0	0	0	0	0	0	127	127	0	168	194	155	0	83	175	0	0	0	0	0	0	0	0	0
Gpr142	42.875	0	0	0	0	204	160	0	219	219	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0
Pycard	42.833333	0	0	0	0	0	0	0	0	284	0	280	230	234	0	0	0	0	0	0	0	0	0	0	0	0
Memo1	42.791667	80	200	0	0	0	0	0	108	89	0	0	182	0	243	0	125	0	0	0	0	0	0	0	0	0
H2-Eb2	42.791667	384	0	0	0	99	0	0	0	0	0	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0
Tepsin	42.75	0	0	0	0	0	0	0	131	159	0	118	363	124	0	0	0	131	0	0	0	0	0	0	0	0
Ndufaf8	42.75	0	0	0	0	0	0	0	131	159	0	118	363	124	0	0	0	131	0	0	0	0	0	0	0	0
Gng10	42.75	0	0	0	0	0	223	0	246	176	0	79	130	0	0	0	172	0	0	0	0	0	0	0	0	0
Crabp1	42.75	0	0	0	0	0	0	0	0	0	0	116	445	179	0	0	0	286	0	0	0	0	0	0	0	0
Coa6	42.75	0	0	0	0	0	142	0	0	241	0	252	229	162	0	0	0	0	0	0	0	0	0	0	0	0
4930453N24Rik	42.75	127	0	0	0	0	100	0	0	234	0	238	192	0	0	0	135	0	0	0	0	0	0	0	0	0
P2rx7	42.666667	0	0	0	0	0	270	0	291	330	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nudt1	42.666667	0	0	0	0	0	194	0	169	193	0	165	171	0	0	0	132	0	0	0	0	0	0	0	0	0
Apela	42.666667	0	0	0	0	0	369	0	172	224	0	128	131	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps5	42.625	0	0	0	0	0	124	0	174	173	0	128	172	117	0	0	0	135	0	0	0	0	0	0	0	0
Abr	42.625	0	0	0	0	0	0	0	115	220	0	177	199	172	0	0	140	0	0	0	0	0	0	0	0	0
Ube2n	42.583333	0	0	0	0	0	0	0	0	141	0	0	0	176	0	123	582	0	0	0	0	0	0	0	0	0
Gm14305	42.583333	0	0	0	0	0	194	0	0	286	0	101	138	0	0	0	0	303	0	0	0	0	0	0	0	0
Cyp1a1	42.583333	145	397	293	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0
Bcat1	42.583333	0	0	0	0	579	0	0	0	0	0	0	133	169	0	0	141	0	0	0	0	0	0	0	0	0
Tlk2	42.541667	0	0	0	0	0	0	0	0	80	0	0	0	0	0	256	685	0	0	0	0	0	0	0	0	0
Nacc2	42.541667	0	0	0	0	0	224	0	151	307	0	136	0	0	0	0	203	0	0	0	0	0	0	0	0	0
Asb4	42.541667	0	0	0	0	111	152	0	151	184	0	189	234	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp507	42.5	0	0	0	0	0	219	0	178	241	0	118	118	0	0	0	146	0	0	0	0	0	0	0	0	0
Prkd3	42.5	318	0	0	0	0	0	0	0	132	0	0	0	0	0	0	430	0	140	0	0	0	0	0	0	0
Pon2	42.5	431	0	0	0	0	0	0	0	0	0	0	0	0	0	153	436	0	0	0	0	0	0	0	0	0
Isl1	42.5	199	0	0	0	0	118	0	0	149	0	128	129	0	0	0	161	136	0	0	0	0	0	0	0	0
Cdkal1	42.5	0	144	169	0	0	0	0	0	151	0	83	0	0	0	171	302	0	0	0	0	0	0	0	0	0
Astn2	42.5	0	0	0	0	0	149	0	137	280	0	170	116	0	0	0	168	0	0	0	0	0	0	0	0	0
Tspan11	42.458333	0	0	0	0	0	102	0	217	238	0	127	155	0	0	0	180	0	0	0	0	0	0	0	0	0
Kif3c	42.458333	0	0	0	0	0	0	0	158	152	0	146	173	155	0	0	128	107	0	0	0	0	0	0	0	0
Ndst4	42.416667	0	0	0	0	0	0	0	124	95	0	172	310	161	0	0	0	156	0	0	0	0	0	0	0	0
Bend3	42.416667	0	0	0	0	0	294	97	103	186	0	123	0	0	0	82	133	0	0	0	0	0	0	0	0	0
Supt7l	42.333333	0	0	0	0	0	198	0	258	199	0	194	167	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc4a1ap	42.333333	0	0	0	0	0	198	0	258	199	0	194	167	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc2a5	42.333333	0	0	0	0	0	0	0	0	0	0	174	478	215	0	0	0	149	0	0	0	0	0	0	0	0
Agtrap	42.291667	0	0	0	0	0	192	0	171	351	0	196	0	0	0	0	105	0	0	0	0	0	0	0	0	0
Acacb	42.291667	0	0	0	0	0	257	0	143	318	0	110	187	0	0	0	0	0	0	0	0	0	0	0	0	0
Racgap1	42.25	0	0	0	0	0	0	0	149	124	0	155	108	128	0	0	190	0	160	0	0	0	0	0	0	0
Trhde	42.208333	0	0	0	0	0	0	0	221	153	0	164	296	179	0	0	0	0	0	0	0	0	0	0	0	0
Lrp6	42.208333	0	0	0	0	0	0	0	0	111	0	0	231	177	0	0	206	288	0	0	0	0	0	0	0	0
Rabep1	42.166667	0	0	0	0	0	0	0	94	177	0	186	229	0	0	75	251	0	0	0	0	0	0	0	0	0
Ptgfrn	42.166667	0	0	0	0	0	128	0	0	141	0	0	0	0	0	0	212	0	531	0	0	0	0	0	0	0
Commd1	42.166667	314	221	218	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0
Lrrc63	42.125	0	0	0	0	0	243	0	177	289	0	157	145	0	0	0	0	0	0	0	0	0	0	0	0	0
Lcp1	42.125	0	0	0	0	0	243	0	177	289	0	157	145	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif9	42.125	0	181	189	0	0	0	0	0	0	0	0	240	0	151	0	105	145	0	0	0	0	0	0	0	0
Cep63	42.125	0	244	293	0	0	0	0	0	0	0	0	0	0	341	0	133	0	0	0	0	0	0	0	0	0
Cdk12	42.125	0	0	0	0	0	199	0	181	187	0	180	140	0	0	0	124	0	0	0	0	0	0	0	0	0
Anapc13	42.125	0	244	293	0	0	0	0	0	0	0	0	0	0	341	0	133	0	0	0	0	0	0	0	0	0
Slc25a10	42.083333	0	0	0	0	0	227	0	121	314	0	0	196	0	0	0	152	0	0	0	0	0	0	0	0	0
P2ry14	42.083333	0	0	0	0	324	0	0	0	0	0	0	111	0	0	187	388	0	0	0	0	0	0	0	0	0
Vps11	42.041667	0	0	0	0	0	158	0	135	311	0	110	137	158	0	0	0	0	0	0	0	0	0	0	0	0
Dnal1	42.041667	0	0	0	0	0	134	0	252	142	0	146	134	0	0	0	201	0	0	0	0	0	0	0	0	0
Arhgef25	42.0	0	0	0	0	0	194	0	186	210	0	156	125	0	0	0	137	0	0	0	0	0	0	0	0	0
Lsp1	41.958333	0	124	89	0	672	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0
Sft2d1	41.875	216	0	0	0	0	76	0	76	189	0	101	230	0	0	0	0	117	0	0	0	0	0	0	0	0
Gtf2f2	41.875	0	109	150	0	0	81	0	117	160	0	0	200	94	94	0	0	0	0	0	0	0	0	0	0	0
Med1	41.833333	0	0	0	0	0	367	0	193	297	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thbs3	41.791667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	235	224	174	240	0	0	0
Pak1	41.791667	0	0	0	0	0	160	0	162	327	0	193	0	0	0	0	161	0	0	0	0	0	0	0	0	0
Mynn	41.791667	0	0	0	0	0	132	0	112	199	0	151	162	122	0	0	0	125	0	0	0	0	0	0	0	0
Mtx1	41.791667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	235	224	174	240	0	0	0
Dis3l	41.791667	0	377	518	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0
Atp10b	41.791667	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	0	0	0	0	0	0	0	0
Aldh9a1	41.791667	0	0	0	0	0	89	0	152	303	0	185	102	0	0	0	89	83	0	0	0	0	0	0	0	0
Hnrnpl	41.75	266	0	0	0	0	135	0	112	138	0	0	189	0	0	0	162	0	0	0	0	0	0	0	0	0
Pla2g5	41.708333	108	0	0	0	0	0	0	0	0	0	0	262	215	0	128	0	288	0	0	0	0	0	0	0	0
Elmo1	41.708333	0	0	0	0	0	251	0	142	186	0	142	153	0	0	0	127	0	0	0	0	0	0	0	0	0
Rabac1	41.666667	0	0	0	0	0	110	0	117	131	0	107	247	0	0	0	288	0	0	0	0	0	0	0	0	0
Lamtor3	41.666667	0	0	0	0	0	238	0	0	269	0	200	293	0	0	0	0	0	0	0	0	0	0	0	0	0
Fmnl2	41.625	0	0	0	0	0	120	0	0	210	0	0	204	140	0	77	145	103	0	0	0	0	0	0	0	0
Ywhaz	41.583333	0	0	0	0	0	238	0	0	296	0	169	0	0	123	0	172	0	0	0	0	0	0	0	0	0
Tom1	41.583333	0	0	0	0	0	0	0	0	0	0	85	420	149	0	0	102	124	118	0	0	0	0	0	0	0
Hacd2	41.583333	0	0	0	0	0	226	0	149	108	0	104	243	0	0	0	168	0	0	0	0	0	0	0	0	0
Fut8	41.583333	0	0	0	0	0	94	0	0	113	0	0	0	0	0	0	663	0	0	0	0	128	0	0	0	0
Tmem218	41.541667	0	0	0	0	170	247	0	109	81	0	216	174	0	0	0	0	0	0	0	0	0	0	0	0	0
Sucla2	41.541667	0	191	141	0	0	0	0	0	0	0	0	0	0	347	0	318	0	0	0	0	0	0	0	0	0
Rasl10b	41.541667	0	306	199	0	0	0	0	0	0	0	0	0	0	272	0	220	0	0	0	0	0	0	0	0	0
Plcb4	41.541667	106	0	107	0	0	0	0	0	0	0	0	0	0	573	0	211	0	0	0	0	0	0	0	0	0
Nudt15	41.541667	0	191	141	0	0	0	0	0	0	0	0	0	0	347	0	318	0	0	0	0	0	0	0	0	0
Lipm	41.541667	0	0	0	0	0	216	0	162	180	0	73	138	0	0	0	124	104	0	0	0	0	0	0	0	0
Tle2	41.5	0	245	294	0	0	0	0	0	0	0	0	0	0	237	0	104	116	0	0	0	0	0	0	0	0
Mical2	41.5	0	0	0	0	0	0	0	0	0	0	0	372	0	0	0	123	501	0	0	0	0	0	0	0	0
Drp2	41.5	145	0	0	0	0	0	0	0	0	0	0	366	268	0	0	0	217	0	0	0	0	0	0	0	0
Shld2	41.458333	0	0	0	0	0	159	107	0	244	0	152	0	0	0	122	211	0	0	0	0	0	0	0	0	0
Glud1	41.458333	0	0	0	0	0	159	107	0	244	0	152	0	0	0	122	211	0	0	0	0	0	0	0	0	0
Eya2	41.416667	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	215	0	664	0	0	0	0	0	0	0
Capn12	41.416667	0	0	0	0	0	0	0	0	0	0	0	448	223	0	0	103	220	0	0	0	0	0	0	0	0
Ocm	41.375	145	0	0	0	0	201	84	0	284	0	110	0	0	0	0	169	0	0	0	0	0	0	0	0	0
Myl4	41.375	405	0	0	0	0	0	0	0	0	0	0	145	0	0	0	335	108	0	0	0	0	0	0	0	0
Mta3	41.375	0	0	0	0	155	0	0	0	173	0	0	268	0	0	95	302	0	0	0	0	0	0	0	0	0
Cdpf1	41.375	0	0	0	0	0	0	0	171	320	0	165	236	0	0	0	101	0	0	0	0	0	0	0	0	0
Fanci	41.333333	162	144	132	0	0	120	0	0	84	0	0	118	0	118	0	114	0	0	0	0	0	0	0	0	0
Rnf146	41.291667	0	0	0	0	0	270	0	0	168	0	172	0	0	0	134	247	0	0	0	0	0	0	0	0	0
Grcc10	41.25	0	0	0	0	0	113	0	208	146	0	136	176	113	0	0	98	0	0	0	0	0	0	0	0	0
